"","GSM4452207_ctrl1","GSM4452208_ctrl2","GSM4452209_ctrl3","GSM4452210_ctrl4","GSM4452211_k10_1","GSM4452212_k10_2","GSM4452213_k10_3","GSM4452214_k10_4","GSM4452215_k20_1","GSM4452216_k20_2","GSM4452217_k20_3","GSM4452230_30_4","GSM4452218_k20_4","GSM4452229_30_3","GSM4452228_30_2","GSM4452227_30_1","GSM4452226_15_4","GSM4452225_15_3","GSM4452224_15_2","GSM4452223_15_1","GSM4452221_0_3","GSM4452222_0_4","GSM4452219_0_1","GSM4452220_0_2"
"ENSMUSG00000027428.9",4.83927812850828,4.88856408564302,4.83640543996014,4.9563576938909,4.88659169332125,4.93296798096868,4.81667759757993,4.76489405073399,18.9315685693242,3.9731517926191,4.71727195735692,3.46240050391912,4.54096696787459,3.95174649375304,3.5224216575525,4.06577901486599,3.49622291231965,4.76370584772712,4.91680424344737,4.81118458093827,4.86988158243819,4.82966619370638,4.79906480635583,4.87567368099292
"ENSMUSG00000027429.13",6.02913721745689,5.99501149205356,5.96142766814425,5.99221705625196,5.95796815436159,6.10416033083738,5.95247404224782,5.99235662624363,18.9315685693242,7.14307679406142,6.37496066089971,-6.9093761404188,6.21978170812229,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027430.9",3.55917020931554,3.44666315688608,3.49605187060259,3.47971888399064,3.4554678138324,3.55706226502249,3.70096577652652,3.62805700145274,18.9315685693242,3.9731517926191,3.79622796103642,-6.9093761404188,3.62451654766001,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027433.5",6.74128707239234,6.80698384813503,6.71459798709257,6.79121258626042,6.77243461410077,6.75676339036938,6.63078612744384,6.7361387860947,18.9315685693242,7.14307679406142,7.05674253790838,6.13757731088792,6.93757382418544,6.90982409552271,5.9660361147846,6.84849083984074,6.94454942955153,6.6639735011419,6.7648291447445,6.78912653644936,6.52025241173441,6.61709667672748,6.73533028986971,6.51232974811066
"ENSMUSG00000027435.8",0.433453807390767,0.427018627739806,0.0489300112963875,0.054913608462977,-0.530224349483714,-0.10167816183821,-0.703603907076263,-0.31094970724952,18.9315685693242,3.9731517926191,-1.72882669566166,-1.62397392155656,-1.51536482762502,-0.667604732513037,-1.93171177282802,-0.350684495244469,-0.00354984730625997,-0.78972421269072,-0.26272696337488,-0.43353745101323,-0.47924282586932,-0.803400256432804,-0.527848609433172,-0.406843146825754
"ENSMUSG00000027438.11",2.61324005734935,2.70356331997984,2.55776144280157,2.44064473822979,2.72699805601583,2.57806256363505,2.38259174477255,2.59968329004482,18.9315685693242,3.9731517926191,2.88728450363016,-6.9093761404188,2.85911378931605,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027439.9",5.59195441243574,5.59823578783625,5.51172848103208,5.65573148856895,5.7332713708042,5.59636192041967,5.48326793885965,5.62162936891356,18.9315685693242,5.55811429334026,5.47178003718722,4.34624260942079,5.39501194376174,5.1563769789362,4.52719090170037,5.12320103745918,4.93087143002706,5.67248865461088,5.74382104706482,5.69301154057224,5.72758931053991,5.77949809160384,5.78209990773759,5.72538114543134
"ENSMUSG00000027447.6",6.90678374752073,6.87124537476577,7.0030175826562,6.79144789779917,6.80821883218667,7.01982337839719,7.05893927744311,6.87231508932962,18.9315685693242,6.78050671467671,6.8555989882939,6.03038670465295,6.68509877212115,6.51335130605357,7.22596114006338,6.58945251232175,6.44030616915536,6.85997258071687,6.65975394176352,6.62566038866674,6.79159289785492,6.63970580576247,6.82196847402472,6.79715626824365
"ENSMUSG00000027454.7",3.15159552726532,3.15792148935954,3.02342501515038,2.94582548883689,3.21996840385448,3.30162322938967,3.18013361322508,3.21179739702594,18.9315685693242,3.9731517926191,3.84030557595778,-6.9093761404188,3.85799150606934,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027455.13",6.12668261063676,6.14789723773838,6.14015528770049,6.0753501025405,6.076456832628,6.12523943131008,6.16048981933124,6.0988820156441,18.9315685693242,3.9731517926191,6.28692020147425,-6.9093761404188,6.18976585940221,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
